Name,Code,Category,Price,Change,Change%,52week,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),hyperlink
MQTECH,0070,"SemiconductorsTechnology, Ace Market",0.055,0.005,10%,0.045-0.095,"9,448",-2.16,0,0.3,-2.55,0.00,-7.19,0.18,12.46,https://www.klsescreener.com/v2/stocks/view/0070/mq-technology-berhad
TCHONG,4405,"AutomotiveConsumer Products & Services, Main Market",0.490,0.005,1%,0.280-0.970,"2,083",-29.07,0,4.01,-1.69,0.00,-7.25,0.12,329.28,https://www.klsescreener.com/v2/stocks/view/4405/tan-chong-motor-holdings-berhad
XDL,5156,"Personal GoodsConsumer Products & Services, Main Market",0.010,0,0%,0.005-0.020,0,-4.00,0,0.54,-0.25,0.00,-7.41,0.02,21.16,https://www.klsescreener.com/v2/stocks/view/5156/xidelang-holdings-ltd
WONG,7050,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.145,0,0%,0.125-0.210,"1,550",-2.23,0,0.3,-6.51,0.00,-7.43,0.48,36.56,https://www.klsescreener.com/v2/stocks/view/7050/wong-engineering-corporation-berhad
NIHSIN,7215,"Houshold GoodsConsumer Products & Services, Main Market",0.080,0,0%,0.080-0.125,"4,085",-1.29,0,0.17,-6.18,0.00,-7.62,0.47,50.02,https://www.klsescreener.com/v2/stocks/view/7215/ni-hsin-group-berhad
LUSTER,5068,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.040,0,0%,0.035-0.060,15,-0.71,0,0.09,-5.63,0.00,-7.90,0.44,120.91,https://www.klsescreener.com/v2/stocks/view/5068/luster-industries-bhd
ZANTAT,0301,"ChemicalsIndustrial Products & Services, Ace Market",0.215,0,0%,0.150-0.295,0,-1.92,0,0.24,-11.21,0.00,-7.99,0.90,61.22,https://www.klsescreener.com/v2/stocks/view/0301/zantat-holdings-berhad
QUALITY,7544,"Building MaterialsIndustrial Products & Services, Main Market",1.280,0,0%,0.920-1.280,0,-10.71,0,1.33,-11.95,0.00,-8.05,0.96,74.19,https://www.klsescreener.com/v2/stocks/view/7544/quality-concrete-holdings-berhad
CROESUS,03066,"SoftwareTechnology, Leap Market",0.200,0,0%,0.150-0.200,0,-1.26,0.38,0.039,-15.92,1.90,-8.05,5.13,20.00,https://www.klsescreener.com/v2/stocks/view/03066/croesus-it-holdings-berhad
TALAMT,2259,"PropertyProperty, Main Market",0.085,-0.005,-5.6%,0.080-0.160,"3,000",-1.64,0,0.202,-5.18,0.00,-8.11,0.42,100.51,https://www.klsescreener.com/v2/stocks/view/2259/talam-transform-berhad
