Name,Code,Category,Price,Change,Change%,52week,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),hyperlink
DYNAFNT,03046,"SoftwareTechnology, Leap Market",1.000,0,0%,1.000-1.000,0,910.25,0.5,0.2,0.11,0.50,"4,551.26",5.00,108.00,https://www.klsescreener.com/v2/stocks/view/03046/dynafront-holdings-berhad
CAPITALA,5099,"Travel, Leisure & HospitalityConsumer Products & Services, Main Market",0.410,-0.005,-1.2%,0.186-0.645,"116,116",291.72,0,0.22,0.14,0.00,"1,326.00",1.86,1832.65,https://www.klsescreener.com/v2/stocks/view/5099/capital-a-berhad
VANTNRG,5218,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.355,0.005,1.4%,0.220-1.000,"54,687",173.55,0,1.4,0.20,0.00,123.97,0.25,812.01,https://www.klsescreener.com/v2/stocks/view/5218/vantris-energy-berhad
CARLSBG,2836,"Food & BeveragesConsumer Products & Services, Main Market",16.800,-0.14,-0.8%,15.420-20.080,329,122.86,100,1.05,13.67,5.95,117.01,16.00,5136.57,https://www.klsescreener.com/v2/stocks/view/2836/carlsberg-brewery-malaysia-bhd
TXCD,7145,"ConstructionConstruction, Main Market",0.115,0.005,4.5%,0.080-0.110,"3,565",3.36,0,0.03,3.42,0.00,112.04,3.83,35.84,https://www.klsescreener.com/v2/stocks/view/7145/txcd-berhad
NPS,03006,"PharmaceuticalsHealth Care, Leap Market",0.135,0,0%,0.135-0.215,0,7.50,8,0.084,1.80,59.26,89.27,1.61,20.12,https://www.klsescreener.com/v2/stocks/view/03006/nova-pharma-solutions-berhad
NESTLE,4707,"Food & BeveragesConsumer Products & Services, Main Market",98.000,0,0%,68.800-122.200,907,218.78,220,2.46,44.79,2.24,88.93,39.84,22981.00,https://www.klsescreener.com/v2/stocks/view/4707/nestle-malaysia-berhad
HEIM,3255,"Food & BeveragesConsumer Products & Services, Main Market",22.740,-0.3,-1.3%,19.800-28.680,605,152.05,155,1.76,14.96,6.82,86.39,12.92,6869.71,https://www.klsescreener.com/v2/stocks/view/3255/heineken-malaysia-berhad
IDBTECH,03030,"SoftwareTechnology, Leap Market",0.130,0,0%,0.130-0.130,0,1.21,0.7,0.014,10.75,5.38,84.56,9.09,65.00,https://www.klsescreener.com/v2/stocks/view/03030/idb-technologies-berhad
ADB,0276,"SoftwareTechnology, Main Market",0.670,0,0%,0.650-1.210,543,5.67,5,0.1,11.81,7.46,56.71,6.70,368.84,https://www.klsescreener.com/v2/stocks/view/0276/autocount-dotcom-berhad
SLIC,03008,"Digital ServicesTechnology, Leap Market",0.600,0,0%,0.600-0.600,0,6.90,7,0.13,8.69,11.67,53.09,4.62,76.20,https://www.klsescreener.com/v2/stocks/view/03008/sl-innovation-capital-berhad
RPLANET,03036,"Digital ServicesTechnology, Leap Market",0.300,0,0%,0.225-0.300,0,6.44,0.6,0.124,4.66,2.00,52.06,2.43,51.10,https://www.klsescreener.com/v2/stocks/view/03036/redplanet-berhad
UCHITEC,7100,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",2.680,-0.04,-1.5%,2.680-3.470,"3,974",19.84,29.5,0.39,13.51,11.01,50.88,6.87,1246.67,https://www.klsescreener.com/v2/stocks/view/7100/uchi-technologies-berhad
JASKITA,8648,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.200,-0.015,-7%,0.165-0.445,200,6.74,12,0.14,2.97,60.00,48.17,1.43,89.91,https://www.klsescreener.com/v2/stocks/view/8648/jasa-kita-berhad
UNIWALL,03017,"ConstructionConstruction, Leap Market",0.490,0,0%,0.490-0.490,0,2.31,0,0.05,21.18,0.00,46.27,9.80,358.39,https://www.klsescreener.com/v2/stocks/view/03017/uni-wall-aps-holdings-berhad
MFGROUP,03015,"Consumer ServicesConsumer Products & Services, Leap Market",0.240,0,0%,0.240-0.240,0,5.79,0.47,0.13,4.14,1.96,44.46,1.84,76.80,https://www.klsescreener.com/v2/stocks/view/03015/manforce-group-berhad
BAT,4162,"Personal GoodsConsumer Products & Services, Main Market",5.780,-0.03,-0.5%,4.160-6.900,"3,014",70.90,63.5,1.66,8.15,10.99,42.71,3.48,1650.36,https://www.klsescreener.com/v2/stocks/view/4162/british-american-tobacco-malaysia-berhad
MPSOL,03019,"Consumer ServicesConsumer Products & Services, Leap Market",0.130,0,0%,0.020-0.130,0,1.78,0.14,0.046,7.31,1.08,38.65,2.83,37.66,https://www.klsescreener.com/v2/stocks/view/03019/matrix-parking-solution-holdings-berhad
BNASTRA,7195,"ConstructionConstruction, Main Market",1.980,0,0%,1.600-2.500,"8,811",12.23,6.5,0.323,16.19,3.28,37.90,6.14,2161.22,https://www.klsescreener.com/v2/stocks/view/7195/binastra-corporation-berhad
DYNAMIC,03058,"SoftwareTechnology, Leap Market",0.275,0,0%,0.275-0.275,0,2.23,0.8,0.062,12.34,2.91,36.23,4.47,68.75,https://www.klsescreener.com/v2/stocks/view/03058/total-dynamic-holdings-berhad
TPTEC,03061,"Industrial ServicesIndustrial Products & Services, Leap Market",0.320,0,0%,0.230-0.320,0,4.69,0,0.1,6.82,0.00,35.17,3.20,80.00,https://www.klsescreener.com/v2/stocks/view/03061/tp-tec-holding-berhad
99SMART,5326,"RetailersConsumer Products & Services, Main Market",3.510,0,0%,1.920-4.150,"87,140",7.31,4.5,0.216,48.00,1.28,33.84,16.24,29484.00,https://www.klsescreener.com/v2/stocks/view/5326/99-speed-mart-retail-holdings-berhad
SUNCON,5263,"ConstructionConstruction, Main Market",6.780,0.19,2.9%,3.720-7.400,"36,095",27.25,50.5,0.82,24.88,7.45,33.23,8.27,9002.54,https://www.klsescreener.com/v2/stocks/view/5263/sunway-construction-group-berhad
CHB,0291,"Industrial ServicesIndustrial Products & Services, Main Market",0.655,0.005,0.8%,0.575-1.120,"2,470",8.44,1.88,0.26,7.76,2.87,32.48,2.52,243.49,https://www.klsescreener.com/v2/stocks/view/0291/critical-holdings-berhad
ENEST,03025,"Consumer ServicesConsumer Products & Services, Leap Market",0.140,0,0%,0.140-0.140,0,3.54,0,0.111,3.96,0.00,31.86,1.26,65.10,https://www.klsescreener.com/v2/stocks/view/03025/enest-group-berhad
MRDIY,5296,"RetailersConsumer Products & Services, Main Market",1.600,-0.05,-3%,1.320-1.920,"142,797",6.68,6,0.213,23.97,3.75,31.37,7.52,15163.96,https://www.klsescreener.com/v2/stocks/view/5296/mr-d-i-y-group-m-berhad
BURSA,1818,"Other FinancialsFinancial Services, Main Market",8.710,-0.05,-0.6%,7.200-9.180,"9,441",30.91,28,0.99,28.18,3.21,31.22,8.80,7049.00,https://www.klsescreener.com/v2/stocks/view/1818/bursa-malaysia-berhad
HUPSENG,5024,"Food & BeveragesConsumer Products & Services, Main Market",1.000,-0.02,-2%,0.910-1.120,157,6.23,7,0.21,16.06,7.00,29.65,4.76,800.00,https://www.klsescreener.com/v2/stocks/view/5024/hup-seng-industries-bhd
MUIPROP,3913,"PropertyProperty, Main Market",0.190,0,0%,0.185-0.425,332,15.97,11.5,0.54,1.19,60.53,29.58,0.35,145.17,https://www.klsescreener.com/v2/stocks/view/3913/mui-properties-bhd
ALPHA,0303,"Health Care ProvidersHealth Care, Ace Market",0.270,-0.005,-1.8%,0.255-0.345,"1,696",1.14,1,0.04,23.75,3.70,28.42,6.75,1312.20,https://www.klsescreener.com/v2/stocks/view/0303/alpha-ivf-group-berhad
UTDPLT,2089,"PlantationPlantation, Main Market",33.600,0,0%,20.200-35.880,"4,475",133.09,125,4.69,25.25,3.72,28.38,7.16,20978.33,https://www.klsescreener.com/v2/stocks/view/2089/united-plantations-berhad
AUTORIS,03059,"Other FinancialsFinancial Services, Leap Market",0.495,0,0%,0.495-0.495,0,1.92,0.5,0.052,25.72,1.01,27.97,9.59,184.19,https://www.klsescreener.com/v2/stocks/view/03059/autoris-group-holdings-berhad
SENDAI,5205,"ConstructionConstruction, Main Market",0.275,0,0%,0.250-0.570,"81,503",14.13,0,0.51,1.95,0.00,27.70,0.54,214.93,https://www.klsescreener.com/v2/stocks/view/5205/eversendai-corporation-berhad
WELLCAL,7231,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",1.220,0,0%,1.200-1.500,"2,278",8.06,8,0.293,15.14,6.56,27.50,4.16,607.50,https://www.klsescreener.com/v2/stocks/view/7231/wellcall-holdings-bhd
HUMEIND,5000,"Building MaterialsIndustrial Products & Services, Main Market",3.270,-0.02,-0.6%,2.400-3.920,"1,275",30.29,10,1.12,10.80,3.06,27.04,2.92,2372.34,https://www.klsescreener.com/v2/stocks/view/5000/hume-cement-industries-berhad
SBS,0386,"MediaTelecommunications & Media, Ace Market",0.135,-0.005,-3.6%,0.115-0.260,"2,955",1.99,0,0.037,6.78,0.00,26.74,3.63,66.15,https://www.klsescreener.com/v2/stocks/view/0386/sbs-nexus-berhad
CEPCO,8435,"Building MaterialsIndustrial Products & Services, Main Market",1.880,-0.11,-5.5%,0.920-1.990,340,30.18,0,1.13,6.23,0.00,26.70,1.66,140.29,https://www.klsescreener.com/v2/stocks/view/8435/concrete-engineering-products-berhad
PESTEC,5219,"Industrial EngineeringIndustrial Products & Services, Main Market",0.080,0.005,6.7%,0.055-0.170,"48,489",3.11,0,0.116,2.58,0.00,26.65,0.69,204.59,https://www.klsescreener.com/v2/stocks/view/5219/pestec-international-berhad
M&G,5078,"Transportation & Logistics ServicesTransportation & Logistics, Main Market",0.190,0,0%,0.125-0.280,"21,543",6.20,0,0.238,3.06,0.00,26.09,0.80,152.17,https://www.klsescreener.com/v2/stocks/view/5078/marine-general-berhad
PECCA,5271,"Auto PartsIndustrial Products & Services, Main Market",1.460,-0.04,-2.7%,1.260-1.790,"31,114",7.81,5,0.3,18.70,3.42,26.07,4.87,1097.92,https://www.klsescreener.com/v2/stocks/view/5271/pecca-group-berhad
MAXIS,6012,"Telecommunications Service ProvidersTelecommunications & Media, Main Market",3.540,-0.09,-2.5%,3.130-4.360,"22,702",19.92,17.5,0.78,17.77,4.94,25.54,4.54,27736.20,https://www.klsescreener.com/v2/stocks/view/6012/maxis-berhad
SCICOM,0099,"Industrial ServicesIndustrial Products & Services, Main Market",1.370,-0.02,-1.4%,0.675-1.750,"3,971",8.86,6,0.35,15.46,4.38,25.31,3.91,486.97,https://www.klsescreener.com/v2/stocks/view/0099/scicom-msc-bhd
SANCY,03057,"SoftwareTechnology, Leap Market",0.360,0,0%,0.260-0.380,0,1.13,0,0.045,31.90,0.00,24.85,7.93,244.50,https://www.klsescreener.com/v2/stocks/view/03057/sancy-berhad
MCLEAN,0167,"Industrial ServicesIndustrial Products & Services, Ace Market",0.505,-0.025,-4.7%,0.230-0.715,"29,069",4.71,0,0.19,10.71,0.00,24.81,2.66,124.34,https://www.klsescreener.com/v2/stocks/view/0167/mclean-technologies-berhad
MYAXIS,03064,"Food & BeveragesConsumer Products & Services, Leap Market",0.290,0,0%,0.180-0.310,0,2.45,0,0.05,11.83,0.00,24.51,5.80,98.83,https://www.klsescreener.com/v2/stocks/view/03064/myaxis-group-berhad
GASMSIA,5209,"Gas, Water & Multi-UtilitiesUtilities, Main Market",5.670,0.23,4.2%,3.660-5.630,"53,885",29.73,23.8,1.215,19.07,4.20,24.48,4.67,7280.28,https://www.klsescreener.com/v2/stocks/view/5209/gas-malaysia-berhad
MMIS,03027,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Leap Market",0.200,0,0%,0.150-0.300,0,1.88,0,0.077,10.61,0.00,24.41,2.59,120.00,https://www.klsescreener.com/v2/stocks/view/03027/mmis-berhad
KGB,0151,"Industrial EngineeringIndustrial Products & Services, Main Market",5.170,0.14,2.8%,2.600-5.880,"34,491",19.15,13,0.786,27.00,2.51,24.36,6.58,4079.24,https://www.klsescreener.com/v2/stocks/view/0151/kelington-group-berhad
GOLDETF,0828EA,"Commodity FundETF-Commodity, ETF",5.610,-0.04,-0.7%,4.120-6.700,"1,544",130.48,0,5.357,4.30,0.00,24.36,1.05,566.59,https://www.klsescreener.com/v2/stocks/view/0828EA/tradeplus-shariah-gold-tracker
WPRTS,5246,"Transportation & Logistics ServicesTransportation & Logistics, Main Market",5.900,-0.09,-1.5%,4.050-6.330,"51,021",29.05,21.85,1.218,20.31,3.70,23.85,4.84,20275.16,https://www.klsescreener.com/v2/stocks/view/5246/westports-holdings-berhad
CLOUDPT,0277,"Digital ServicesTechnology, Main Market",0.470,-0.015,-3.1%,0.465-0.910,"15,307",4.05,2,0.17,11.62,4.26,23.74,2.76,249.85,https://www.klsescreener.com/v2/stocks/view/0277/cloudpoint-technology-berhad
ASTRA,03032,"Food & BeveragesConsumer Products & Services, Leap Market",0.500,0,0%,0.500-0.500,0,5.93,0,0.25,8.43,0.00,23.71,2.00,136.08,https://www.klsescreener.com/v2/stocks/view/03032/astramina-group-berhad
SUNMOW,03050,"ConstructionConstruction, Leap Market",1.010,0,0%,1.000-1.250,0,5.79,1.65,0.252,17.44,1.63,23.02,4.01,236.28,https://www.klsescreener.com/v2/stocks/view/03050/sunmow-holding-berhad
SSB8,0045,"ConstructionConstruction, Ace Market",0.600,0.01,1.7%,0.375-0.645,"9,214",2.07,1,0.09,28.98,1.67,23.00,6.67,1363.55,https://www.klsescreener.com/v2/stocks/view/0045/southern-score-builders-berhad
FOCUSP,0157,"Personal GoodsConsumer Products & Services, Main Market",0.480,-0.005,-1%,0.455-0.608,"10,456",5.69,4,0.248,8.44,8.33,22.96,1.94,295.68,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
VANZO,0333,"Personal GoodsConsumer Products & Services, Ace Market",0.130,0,0%,0.125-0.185,"1,065",1.37,0.2,0.06,9.47,1.54,22.88,2.17,60.68,https://www.klsescreener.com/v2/stocks/view/0333/vanzo-holdings-berhad
HAWK,0320,"Energy, Infrastructure, Equipment & ServicesEnergy, Ace Market",0.290,0.005,1.8%,0.230-0.585,"2,651",2.80,0,0.123,10.36,0.00,22.78,2.36,142.26,https://www.klsescreener.com/v2/stocks/view/0320/steel-hawk-berhad
SEB,5163,"Industrial EngineeringIndustrial Products & Services, Main Market",0.640,0,0%,0.450-0.730,0,14.11,0,0.62,4.54,0.00,22.76,1.03,51.20,https://www.klsescreener.com/v2/stocks/view/5163/seremban-engineering-berhad
INNO,6262,"PlantationPlantation, Main Market",1.920,0.02,1.1%,1.580-2.010,"2,383",15.22,15,0.67,12.61,7.81,22.72,2.87,919.41,https://www.klsescreener.com/v2/stocks/view/6262/innoprise-plantations-berhad
MNHLDG,0245,"ConstructionConstruction, Ace Market",1.860,0.07,3.9%,0.825-2.000,"134,303",11.42,0.25,0.51,16.28,0.13,22.40,3.65,1226.36,https://www.klsescreener.com/v2/stocks/view/0245/mn-holdings-berhad
ECOSHOP,5337,"RetailersConsumer Products & Services, Main Market",1.370,0,0%,1.130-1.670,"85,276",4.03,1,0.18,34.02,0.73,22.37,7.61,7884.88,https://www.klsescreener.com/v2/stocks/view/5337/eco-shop-marketing-berhad
PMETAL,8869,"MetalsIndustrial Products & Services, Main Market",7.680,0.13,1.7%,4.140-7.970,"74,584",25.50,8,1.14,30.12,1.04,22.36,6.74,63280.26,https://www.klsescreener.com/v2/stocks/view/8869/press-metal-aluminium-holdings-berhad
SMRT,0117,"Digital ServicesTechnology, Ace Market",0.145,-0.005,-3.3%,0.100-1.030,"37,308",5.02,0,0.225,2.89,0.00,22.31,0.64,66.36,https://www.klsescreener.com/v2/stocks/view/0117/smrt-holdings-berhad
TECGUAN,7439,"Agricultural ProductsConsumer Products & Services, Main Market",2.070,-0.04,-1.9%,1.550-2.230,15,85.21,5,3.82,2.43,2.42,22.31,0.54,83.00,https://www.klsescreener.com/v2/stocks/view/7439/teck-guan-perdana-berhad
TAFI,7211,"Houshold GoodsConsumer Products & Services, Main Market",0.620,-0.02,-3.1%,0.490-0.650,"1,425",6.91,0,0.31,8.97,0.00,22.29,2.00,235.24,https://www.klsescreener.com/v2/stocks/view/7211/tafi-industries-berhad
HEXTAR,5151,"ChemicalsIndustrial Products & Services, Main Market",0.800,0.005,0.6%,0.760-0.985,"38,607",1.56,1.3,0.07,51.30,1.62,22.28,11.43,3151.41,https://www.klsescreener.com/v2/stocks/view/5151/hextar-global-berhad
PTT,7010,"PropertyProperty, Main Market",1.380,0.03,2.2%,1.000-1.490,"1,045",16.79,0.8,0.76,8.22,0.58,22.09,1.82,633.34,https://www.klsescreener.com/v2/stocks/view/7010/ptt-synergy-group-berhad
CHINAETF-MYR,0829EA,"Equity FundETF-Equity, ETF",4.930,0.01,0.2%,4.440-6.260,3,118.06,0,5.369,4.18,0.00,21.99,0.92,66.50,https://www.klsescreener.com/v2/stocks/view/0829EA/tradeplus-s-p-new-china-tracker-myr
AME,5293,"ConstructionConstruction, Main Market",1.480,-0.01,-0.7%,1.460-1.700,907,37.36,6,1.72,3.96,4.05,21.72,0.86,948.20,https://www.klsescreener.com/v2/stocks/view/5293/ame-elite-consortium-berhad
PWRWELL,0217,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Ace Market",0.615,-0.015,-2.4%,0.350-0.730,"8,826",4.12,0.5,0.19,14.94,0.81,21.67,3.24,357.04,https://www.klsescreener.com/v2/stocks/view/0217/powerwell-holdings-berhad
KENERGY,0307,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Ace Market",0.430,-0.005,-1.1%,0.365-0.830,"1,846",4.31,1.25,0.2,9.98,2.91,21.54,2.15,236.50,https://www.klsescreener.com/v2/stocks/view/0307/kawan-renergy-berhad
CBHB,0339,"Industrial ServicesIndustrial Products & Services, Ace Market",0.505,-0.015,-2.9%,0.200-0.645,"30,066",2.55,0.27,0.12,19.77,0.53,21.28,4.21,949.85,https://www.klsescreener.com/v2/stocks/view/0339/cbh-engineering-holding-berhad
DFX,0131,"Digital ServicesTechnology, Ace Market",0.085,0,0%,0.080-0.125,0,1.27,0.3,0.06,6.68,3.53,21.17,1.41,63.39,https://www.klsescreener.com/v2/stocks/view/0131/divfex-berhad
PGLOBE,3611,"PropertyProperty, Main Market",0.690,0,0%,0.565-0.810,279,12.43,0,0.59,5.55,0.00,21.07,1.17,515.17,https://www.klsescreener.com/v2/stocks/view/3611/paragon-globe-berhad
TOPMIX,0302,"Building MaterialsIndustrial Products & Services, Ace Market",0.490,0,0%,0.330-0.520,"1,030",4.55,1,0.22,10.77,2.04,20.68,2.23,192.99,https://www.klsescreener.com/v2/stocks/view/0302/topmix-berhad
DXN,5318,"RetailersConsumer Products & Services, Main Market",0.465,-0.005,-1.1%,0.460-0.550,"9,067",5.89,3.7,0.29,7.89,7.96,20.31,1.60,2318.03,https://www.klsescreener.com/v2/stocks/view/5318/dxn-holdings-bhd
GDB,0198,"ConstructionConstruction, Main Market",0.375,0,0%,0.265-0.515,"288,733",5.26,1,0.26,7.13,2.67,20.24,1.44,386.72,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
KOPI,0338,"Food & BeveragesConsumer Products & Services, Ace Market",1.060,0,0%,0.625-1.610,"31,990",3.24,1,0.16,32.76,0.94,20.22,6.62,2120.00,https://www.klsescreener.com/v2/stocks/view/0338/oriental-kopi-holdings-berhad
CHEEDING,0372,"ConstructionConstruction, Ace Market",0.625,-0.015,-2.3%,0.585-0.960,"8,452",4.27,0,0.16,14.64,0.00,20.01,3.91,498.29,https://www.klsescreener.com/v2/stocks/view/0372/cheeding-holdings-berhad
SORENTO,0326,"Houshold GoodsConsumer Products & Services, Ace Market",0.650,0,0%,0.350-0.750,"1,110",3.60,1,0.18,18.08,1.54,19.97,3.61,559.00,https://www.klsescreener.com/v2/stocks/view/0326/sorento-capital-berhad
PESONA,8311,"ConstructionConstruction, Main Market",0.335,-0.005,-1.5%,0.200-0.470,"8,960",5.64,1.4,0.285,5.94,4.18,19.81,1.18,232.82,https://www.klsescreener.com/v2/stocks/view/8311/pesona-metro-holdings-bhd
RGS,03052,"Industrial ServicesIndustrial Products & Services, Leap Market",0.170,0,0%,0.100-0.175,0,0.79,0,0.04,21.54,0.00,19.74,4.25,43.35,https://www.klsescreener.com/v2/stocks/view/03052/ray-go-solar-holdings-berhad
DESTINI,7212,"Industrial EngineeringIndustrial Products & Services, Main Market",0.305,0,0%,0.270-0.510,175,5.49,0.5,0.28,5.56,1.64,19.61,1.09,167.43,https://www.klsescreener.com/v2/stocks/view/7212/destini-berhad
HLIND,3301,"AutomotiveConsumer Products & Services, Main Market",16.760,-0.12,-0.7%,12.360-19.300,"1,173",154.98,80,7.92,10.81,4.77,19.57,2.12,5495.67,https://www.klsescreener.com/v2/stocks/view/3301/hong-leong-industries-berhad
IAB,0376,"Industrial ServicesIndustrial Products & Services, Ace Market",1.490,-0.06,-3.9%,0.620-2.000,"15,251",6.97,0,0.18,21.37,0.00,19.37,8.28,819.50,https://www.klsescreener.com/v2/stocks/view/0376/insights-analytics-berhad
HI,5335,"Travel, Leisure & HospitalityConsumer Products & Services, Main Market",2.040,-0.09,-4.2%,1.200-2.880,"12,763",10.26,3,0.53,19.87,1.47,19.37,3.85,1020.00,https://www.klsescreener.com/v2/stocks/view/5335/hi-mobility-berhad
TEOSENG,7252,"Agricultural ProductsConsumer Products & Services, Main Market",0.930,-0.005,-0.5%,0.825-1.170,"1,773",23.68,4.75,1.23,3.93,5.11,19.25,0.76,558.02,https://www.klsescreener.com/v2/stocks/view/7252/teo-seng-capital-bhd
PANDA,0290,"SoftwareTechnology, Ace Market",0.195,-0.01,-4.9%,0.185-0.325,"3,857",1.34,0.75,0.07,14.61,3.85,19.07,2.79,134.68,https://www.klsescreener.com/v2/stocks/view/0290/panda-eco-system-berhad
SIGN,7246,"Houshold GoodsConsumer Products & Services, Main Market",1.400,0.06,4.5%,1.260-1.470,"4,859",12.99,11,0.69,10.78,7.86,18.83,2.03,903.70,https://www.klsescreener.com/v2/stocks/view/7246/signature-international-berhad
FIBRO,0355,"Industrial ServicesIndustrial Products & Services, Ace Market",0.795,0,0%,0.410-0.975,284,6.59,0,0.35,12.07,0.00,18.82,2.27,197.38,https://www.klsescreener.com/v2/stocks/view/0355/fibromat-m-berhad
TOMEI,7230,"RetailersConsumer Products & Services, Main Market",1.880,-0.02,-1.1%,1.560-2.140,807,77.09,4,4.1,2.44,2.13,18.80,0.46,260.57,https://www.klsescreener.com/v2/stocks/view/7230/tomei-consolidated-berhad
SPTOTO,1562,"Travel, Leisure & HospitalityConsumer Products & Services, Main Market",1.280,-0.02,-1.5%,1.280-1.550,"9,428",15.78,8,0.84,8.11,6.25,18.79,1.52,1729.32,https://www.klsescreener.com/v2/stocks/view/1562/sports-toto-berhad
BETA,0263,"Auto PartsIndustrial Products & Services, Ace Market",0.555,-0.005,-0.9%,0.355-0.590,"2,750",6.55,5.25,0.35,8.47,9.46,18.72,1.59,252.29,https://www.klsescreener.com/v2/stocks/view/0263/betamek-berhad
KERJAYA,7161,"ConstructionConstruction, Main Market",2.360,-0.04,-1.7%,1.800-2.920,"8,913",17.73,15,0.96,13.31,6.36,18.47,2.46,2990.61,https://www.klsescreener.com/v2/stocks/view/7161/kerjaya-prospek-group-berhad
ITMAX,5309,"Digital ServicesTechnology, Main Market",4.770,0.05,1.1%,3.160-5.220,"2,994",9.03,2.3,0.49,52.82,0.48,18.43,9.73,4941.05,https://www.klsescreener.com/v2/stocks/view/5309/itmax-system-berhad
PETDAG,5681,"RetailersConsumer Products & Services, Main Market",21.920,0.32,1.5%,17.000-23.800,"14,177",110.64,112,6.01,19.81,5.11,18.41,3.65,21776.51,https://www.klsescreener.com/v2/stocks/view/5681/petronas-dagangan-bhd
ADNEX,0396,"ConstructionConstruction, Ace Market",0.240,0,0%,0.225-0.275,"59,888",2.20,0,0.03,10.92,0.00,18.31,8.00,120.00,https://www.klsescreener.com/v2/stocks/view/0396/adnex-group-berhad
SAG,0360,"ConstructionConstruction, Ace Market",0.735,-0.005,-0.7%,0.670-0.925,468,4.38,2,0.24,16.77,2.72,18.26,3.06,735.00,https://www.klsescreener.com/v2/stocks/view/0360/signature-alliance-group-berhad
LHI,6633,"Agricultural ProductsConsumer Products & Services, Main Market",0.740,-0.005,-0.7%,0.560-0.835,"7,549",13.70,2,0.757,5.40,2.70,18.10,0.98,2705.84,https://www.klsescreener.com/v2/stocks/view/6633/leong-hup-international-berhad
PGLOBAL,5331,"MetalsIndustrial Products & Services, Main Market",0.460,0.005,1.1%,0.380-0.625,"3,567",11.03,3,0.61,4.17,6.52,18.08,0.75,391.00,https://www.klsescreener.com/v2/stocks/view/5331/pantech-global-berhad
OPTIMAX,0222,"Health Care ProvidersHealth Care, Main Market",0.530,0,0%,0.465-0.715,"2,617",2.53,1.4,0.14,20.94,2.64,18.08,3.79,287.95,https://www.klsescreener.com/v2/stocks/view/0222/optimax-holdings-berhad
CCIB,03053,"Consumer ServicesConsumer Products & Services, Leap Market",0.350,0,0%,0.350-0.350,0,3.07,1.26,0.17,11.42,3.60,18.03,2.06,167.89,https://www.klsescreener.com/v2/stocks/view/03053/cc-international-berhad
DLADY,3026,"Food & BeveragesConsumer Products & Services, Main Market",32.000,0,0%,26.100-33.800,153,161.38,50,8.96,19.83,1.56,18.01,3.57,2048.00,https://www.klsescreener.com/v2/stocks/view/3026/dutch-lady-milk-industries-berhad
KEYFIELD,5321,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",1.400,0,0%,1.300-2.230,728,17.61,9,0.98,7.95,6.43,17.97,1.43,1133.57,https://www.klsescreener.com/v2/stocks/view/5321/keyfield-international-berhad
KMLOONG,5027,"PlantationPlantation, Main Market",2.480,0,0%,2.120-2.520,598,17.20,14,0.96,14.42,5.65,17.91,2.58,2439.15,https://www.klsescreener.com/v2/stocks/view/5027/kim-loong-resources-berhad
CHINTEK,1929,"PlantationPlantation, Main Market",10.900,-0.06,-0.5%,7.700-11.760,33,221.14,51,12.38,4.93,4.68,17.86,0.88,995.86,https://www.klsescreener.com/v2/stocks/view/1929/chin-teck-plantations-berhad
EQ8US50,0827EA,"Equity FundETF-Equity, ETF",3.270,-0.07,-2.1%,2.360-3.620,20,62.96,0,3.525,5.19,0.00,17.86,0.93,52.62,https://www.klsescreener.com/v2/stocks/view/0827EA/eq8-dow-jones-us-titans-50-etf
IDEAL,9687,"PropertyProperty, Main Market",3.500,0,0%,3.230-4.000,39,31.69,1,1.775,11.05,0.29,17.85,1.97,1750.00,https://www.klsescreener.com/v2/stocks/view/9687/ideal-capital-berhad
CVIEW,5049,"PropertyProperty, Main Market",3.060,-0.01,-0.3%,1.700-3.430,142,82.30,53,4.62,3.72,17.32,17.81,0.66,306.00,https://www.klsescreener.com/v2/stocks/view/5049/country-view-berhad
AMWAY,6351,"RetailersConsumer Products & Services, Main Market",4.680,0.05,1.1%,4.520-5.620,391,27.54,27.5,1.55,16.99,5.88,17.77,3.02,769.32,https://www.klsescreener.com/v2/stocks/view/6351/amway-m-holdings-bhd
CARLORINO,0335,"Personal GoodsConsumer Products & Services, Ace Market",0.220,0,0%,0.210-0.350,"1,588",2.90,1.5,0.163,7.58,6.82,17.76,1.35,107.53,https://www.klsescreener.com/v2/stocks/view/0335/carlo-rino-group-berhad
WELLCHIP,5325,"Other FinancialsFinancial Services, Main Market",1.290,-0.01,-0.8%,0.935-1.780,948,14.36,4,0.81,8.98,3.10,17.73,1.59,774.00,https://www.klsescreener.com/v2/stocks/view/5325/well-chip-group-berhad
PRTASCO,5070,"ConstructionConstruction, Main Market",0.190,0,0%,0.180-0.305,"5,689",14.20,0,0.811,1.34,0.00,17.51,0.23,94.12,https://www.klsescreener.com/v2/stocks/view/5070/protasco-berhad
